id,question_text,display_text,key,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
639,Is the teacher of Nali-Kali conducting the class ?,Teacher of Nali-Kali is conducting the class ?,Academic,"{Yes,No}",True,1,AC,,,ನಲಿ-ಕಲಿ ಶಿಕ್ಷಕರು ತರಗತಿಯನ್ನು ನಡೆಸುತ್ತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
640,Is the teacher trained by Akshara Foundation ?,Teacher trained by Akshara Foundation ?,Academic,"{Yes,No}",True,1,AC,,,ಶಿಕ್ಷಕರು ಅಕ್ಷರ ಫೌಂಡೇಷನ್ ವತಿಯಿಂದ ತರಬೇತಿ ಹೊಂದಿದವರೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
641,Is the teacher carrying out the expected day’s timetable ?,Teacher carrying out the expected day’s timetable ?,Academic,"{Yes,No}",True,1,AC,,,ದಿನದ ನಿರೀಕ್ಷಿತ ವೇಳಾಪಟ್ಟಿಯನ್ನು ಶಿಕ್ಷಕರು ನಡೆಸುತ್ತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
642,Is the teacher following the activity schedule for that day ?,Teacher following the activity schedule for that day ?,Academic,"{Yes,No}",True,1,AC,,,ಆ ದಿನದ ಚಟುವಟಿಕೆ ವೇಳಾಪಟ್ಟಿಯನ್ನು ಶಿಕ್ಷಕರು ಅನುಸರಿಸುತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
643,Is the teacher using the TLM provided ?,Teacher using the TLM provided ?,Academic,"{Yes,No}",True,1,AC,,,ನೀಡಿರುವ TLMಗಳನ್ನು ಶಿಕ್ಷಕರು ಬಳಸುತ್ತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
644,Are the children using the TLM applicable ?,Children using the TLM applicable ?,Academic,"{Yes,No}",True,1,AC,,,ಮಕ್ಕಳು ಅನ್ವಯಿಸುವ TLMಗಳನ್ನು ಬಳಸುತ್ತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
645,Which lesson was being taught in the class during your visit ?,Small group activity being conducted correctly ?,Academic,"{Yes,No,Not Observed}",True,1,AC,,,ಸಣ್ಣ ಗುಂಪಿನ ಚಟುವಟಿಕೆಯನ್ನು ಸರಿಯಾಗಿ ನಡೆಸುತ್ತಿದ್ದಾರೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ,ಗಮನಿಸಲು ಆಗಲಿಲ್ಲ}"
646,Are Children’s work books up to date ?,Children’s work books are up to date ?,Academic,"{Yes,No}",True,1,AC,,,ಮಕ್ಕಳ ಅಭ್ಯಾಸ ಪುಸ್ತಕಗಳು ಆ ದಿನದವರೆಗೆ ಪೂರ್ತಿಯಾಗಿದೆಯೇ ?,"{ಹೌದು,ಇಲ್ಲ}"
647,Are the activity books corrected by the teacher up to date ?,Activity books corrected by the teacher are up to date?,Academic,"{Yes,No}",True,1,AC,,,ಶಿಕ್ಷಕರಿಂದ ಅಂದಿನ ದಿನಾಂಕದವರೆಗೂ ಅಭ್ಯಾಸ ಪುಸ್ತಕಗಳನ್ನು ಪರಿಶೀಲಿಸಲಾಗಿದೆಯೇ?,"{ಹೌದು,ಇಲ್ಲ}"
648,Is the child tracker completed ?,Child tracker completed ?,Academic,"{Yes,No}",True,1,AC,,,ಮಕ್ಕಳ ಟ್ರ್ಯಾಕರ್ (ಪ್ರಗತಿ ತಖ್ತೆ/ನೋಟ) ಪೂರ್ಣವಾಗಿ ಭರ್ತಿ ಮಾಡಲಾಗಿದೆಯೇ? ,"{ಹೌದು,ಇಲ್ಲ}"
